review,sentiment
"Phil Obcy jest jednym z tych dziwacznych filmów, w których humor opiera się na dziwności wszystkiego, a nie faktycznych punchlin.Znajdź żarty lub dziwność zabawne./> Wyobrażam sobie, że ten film byłby podobny do kamieniarza, który obecnie się uczestniczy. <br /> <br /> za coś podobnego, ale lepiej wypróbuj „brat z innej planety”",negative
"Widziałem ten film, kiedy miałem około 12 lat, kiedy się ukazał.Pamiętam, jak najstraszniejsza scena była wielkim ptakiem jedzącym mężczyzn wiszących bezradnie z spadochronów prosto z powietrza.Horror.Horror. <br /> <br /> Jako młody dzieciak idący na te tandetne filmy B w sobotnie popołudnia, nadal byłem zmęczony formułą dla tych filmów typu potworów, które zwykle obejmowały bohatera, piękną kobietę, która może byćCórka profesora i szczęśliwa rezolucja, kiedy potwór zmarł w końcu.Nie przejmowałem się romantycznym kątem jako 12 -latka i przewidywalne działki.Uwielbiam ich teraz za niezamierzony humor. <br /> <br /> Ale około roku później widziałem Psycho, kiedy się pojawił i uwielbiałem, że gwiazda, Janet Leigh, została wpadnięta na początku filmu.Usiadłem i zauważyłem w tym momencie.Ponieważ scenarzyści tworzą tę historię, zrób to tak przerażające, jak to możliwe, a nie z dobrze znoszonej formuły.Nie ma zasad.",negative
"Więc nie jestem wielkim fanem pracy Boll, ale z drugiej strony niewielu jest.Podobał mi się jego film pocztowy (może jestem jedyny).Boll najwyraźniej kupił prawa do korzystania z Far Cry, jeszcze zanim sama gra została jeszcze ukarana.<br /> <br /> Ludzie, którzy lubili zabijać najemników i infiltrować tajne laboratoria badawcze zlokalizowane na tropikalnej wyspie, należy ostrzec, że to nie jest dalekie ...Schmucks .. czując Loneleya na planie Boll zaprasza trzech swoich rodaków do zabawy.Ci gracze mają nazwy Til Schweiger, Udo Kier i Ralf Moeller. <br /> <br /> Trzy nazwiska, które faktycznie sprawiły, że są całkiem wielkie w filmie Biz.Tak więc opowieść tak się dzieje, Jack Carver grany przez TIL Schweiger (tak Carver jest niemiecką, zwariował Bratwurst jedzący kolesie !!), jednak uważam, że TILS działający w tym filmie jest dość zły. Ludzie narzekali na to, że tak naprawdę nie zostaje, nie zostajeZgodnie z całym programem Carvera, ale widzieliśmy Carvera tylko w perspektywie pierwszej osoby, więc tak naprawdę nie wiemy, jak wyglądał, gdy kopał ** .. <br /> <br /> Jednak fabuła w tymFilm jest nie do zniesienia.Widzimy złego szalonego naukowca, dr Kriegera, granego przez Udo Kiera, tworząc genetycznie zmutowane żołnierzy lub GM, jak się nazywają.Z jakiegoś powodu przeprowadzając swoje ściśle tajne badania na wyspie, które przypomina mi „spoiler” Vancouver.To prawda, nie ma tu palm.Zamiast tego mamy miłe bogate drewno drewna.Nie poszliśmy nawet daleko, zanim zacząłem płakać (mehehe), nie mogę już iść dalej ... jeśli chcesz pozostać wierny Bolls Shenanigans, to idź i zobacz ten filmWiększość z nich będzie do bani. <br /> <br /> Istnieją pewne rzeczy, o których warto wspomnieć, co oznaczałoby, że Boll wykonał dobrą robotę na niektórych obszarach filmu, takich jak fajna łódź i sceny walki.Dopóki cały drużyna Cromed/Albino GMS nie wejdzie na scenę i wszystko po prostu mnie rozśmiesza. Film Far Cry crys of Scheisse (to jest dla Ciebie proste) z fa, r Jeśli chcesz wybrać się na wiff ... btw CarverDostaje się bardzo irytującego pomocnika, który sprawia, że chcesz zastrzelić mu pierwsze trzy minuty, w którym jest na ekranie.",negative
"Obsada grała Szekspira. <br /> <br /> Szekspira przegrała. <br /> <br /> Doceniam, że próbuje to przynieść Szekspira do mas, ale po co zrujnować coś tak dobrego. <br /> <BR/> Czy to dlatego, że „The Scottish Play” to mój ulubiony Szekspir?Nie wiem.Wiem, że pewien Bowdler (stąd Bowdlerizacja) próbował zrobić coś podobnego w erze wiktoriańskiej. <br /> <br /> Innymi słowy, nie możesz poprawić doskonałości. <br /> <br /> INie mam więcej pisać, ale ponieważ muszę napisać co najmniej dziesięć wierszy tekstu (a kompozycja angielska nigdy nie była moją siłą, po prostu będę musiał iść i powiedzieć, że ten film, jak mówi przysłowie, po prostu go nie wycina.",negative
"To fantastyczny film trzech więźniów, którzy stali się sławni.Jednym z aktorów jest George Clooney i nie jestem fanem, ale ta rolka nie jest zła.Kolejną dobrą rzeczą w filmie jest ścieżka dźwiękowa (człowiek stałego smutku).Polecam wszystkim filmowi.Pozdrowienia Bart",positive
"Warto scenami erotycznymi, tylko po to, aby zdać sobie sprawę, że była to jedna z najbardziej amatorskich i niewiarygodnych fragmentów filmu, jakie kiedykolwiek widziałem.Coś jak projekt filmowy w szkole średniej.Co myślała Rosanna Arquette?A co było z tymi wszystkimi postaciami w tym dziwnym rzekomym miasteczku na środkowym zachodzie?Całkiem trudne do zaangażowania się w ten.Żadnych lekcji, których można się z niego wyciągnąć, nie ma genialnych spostrzeżeń, po prostu pudło i dość śmieszne (ale dużo skóry, jeśli to cię intryguje) bzdury nagrane na wideo ... co było z relacją biseksualną, znikąd, po wszystkich heteroseksualnych spotkaniach.A co było z tym absurdalnym tańcem, a wszyscy grają stereotypowe role?Podaj tę przepustkę, to jak milion innych mil złego, zmarnowanego filmu, pieniędzy, które można było wydać na głodujące dzieci lub AIDS w Afryce .....",negative
"Niektóre filmy po prostu nie powinny być przerobione.To jest jeden z nich.Samo w sobie nie jest to zły film.Ale nie uchwyci smaku i terroru filmu o tym samym tytule z 1963 roku.Liam Neeson był doskonały, jak zawsze, a większość obsady utrzymuje się, z wyjątkiem Owena Wilsona, który po prostu nie przyniósł właściwego charakteru Luke'owi.Ale główną winą w tej wersji jest to, że zbłąkała się zbyt daleko od historii Shirley Jackson w swoich próbach bycia wspaniałym i straciłem dreszczyk emocji z wcześniejszego filmu w kompromisach Snazzier Specjalnych efektów.Znowu powiem, że w sobie nie jest to zły film.Ale znacznie bardziej spodoba ci się tarcie terroru w starszej wersji.",positive
"Ten film trafił do jednego z moich 10 najbardziej okropnych filmów.Straszny.<br /> <br /> Nie było ciągłej minuty, w której nie było walki z jednym potworem lub innym.Nie było szans na rozwój postaci, byli zbyt zajęci bieganiem z jednej walki na miecz do drugiego.Nie miałem emocjonalnego przywiązania (oprócz wielkiej złej maszyny, która chciała je zniszczyć) <br /> <br /> Sceny zostały rażąco skradzione z innych filmów, LOTR, Star Wars i Matrix.<br /> <br /> Przykłady <br /> <br />> Scena duchów na końcu została skradziona z ostatniej sceny starej Gwiezdnych Wojny z Yodą, Obee One i Vader.<br /> <br />> Maszyna pająka na początku była dokładnie tak, jakby Frodo został zaatakowany przez pająka w zamian od Królów.(Elijah Wood jest ofiarą w obu filmach) i poczekaj ...... hipnotyzuje (użądlenia) jego ofiara i owija ich ..... uh witam ???? <br /> <br />> iTemat całej maszyny vs. ludzi był matrycą .. lub terminator ..... <br /> <br /> Istnieje więcej przykładów, ale po co marnować czas?I czy ktoś mi powie, co było z nazistami?!?!Nazi ????<br /> <br /> Wystąpiła młodzieńcza fabuła.Film nie mógł zdecydować, czy był to film dla dzieci czy film dla dorosłych i nie był zbyt wiele.<br /> <br /> Po prostu okropne.Prawdziwe rozczarowanie.Oszczędzaj pieniądze.",negative
"Pamiętam ten film, był to pierwszy film, który obejrzałem w kinie. Zdjęcie było ciemne w miejscach, w których byłem bardzo zdenerwowany, że wróciłem do 74/75, mój tata zabrał mnie mojego brata i siostry w Newbury Cinema w Newbury Berkshire England.Pamiętam, jak Tygrysy i dużo śniegu w filmie również pojawienie się aktora Grizzly Adams, Dana Haggery, myślę, że jeden z tygrysów zostaje zastrzelony i umiera.Jeśli ktoś wie, gdzie to znaleźć na DVD itp., Daj mi znać. Kino zostało teraz zwrócone w klubie fitness, który jest bardzo wielkim wstydem, ponieważ najbliższe kino jest teraz 20 mil, chciałbym usłyszeć od innych, którzy widzieliten film lub inny podobny.",positive
"Okropny film!To musiało być przeciwko niektórym prawdziwym śmierdzącym, aby zostać nominowanym do Złotego Globu.Podjęli historię pierwszej słynnej malarza renesansowego i zagłuszali ją nie do uznania.Moja skarga nie polega na tym, że podjęli swobody faktami;Gdyby historia była dobra, byłoby to idealnie w porządku.Ale to jest po prostu dziwne-według wszystkich relacji prawdziwa historia tego artysty stworzyłaby znacznie lepszy film, więc dlaczego wymyślili ten scenariusz do zmywarki?Przypuszczam, że w wersji faktycznej nie było wystarczającej liczby nagiego.Ostatecznie jest to ograniczone podsumowaniem życia artysty - moglibyśmy uratować sobie kilka godzin, gdyby faworyzowali resztę filmu z taką samą zwięzłością.",negative
"Po sukcesie Die Hard i jego kontynuacjach nie jest zaskoczeniem, że w latach 90. nadwyżka „Die Hard na .....” filmów wypłaconych na niewłaściwym facecie, niewłaściwym miejscu, niewłaściwej koncepcji czasu.To właśnie zrobili z Cliffhanger, umieraj ciężko na górze w samą porę, aby uratować Sly „Stop, albo moja mama strzeli” karierę Stallone. <br /> <br /> Cliffhanger to jeden wielki marzenie Nit-Pickers, szczególnie dla nichktórzy są ekspertami w wspinaczce górskiej, skokach bazowych, lotnictwie, wyrazie twarzy, umiejętności aktorskiej.Podsumowując, jest pełne wymówek, aby odrzucić film jako jeden przesadzony stos śmieci.Stallone udało się nawet działać przez konia!Jeśli jednak zapomnisz wszystkie bzdury, jest to w rzeczywistości bardzo sympatyczna i niezaprzeczalnie zabawna romp, która zapewnia mnóstwo emocji, a nieumyślnie mnóstwo śmiechu. <br />Zło, jego kleszcza każda banda złych, a co najważniejsze, trwale nękany i nieszczęsny agent „obrotowy”, rex Linn jako travers. <br /> <br /> Był może być Henry'ego w „Portracie seryjnego zabójcy„Ale Michael Rooker jest godny uwagi na godnym wzroście występu, ponieważ Hal, nalega na ciągłe krzyczenie z bolesnego niedowierzania w swoich porywach„ że człowiek nigdy nikogo nie skrzywdził ”, a chociaż na pewno nie może być, to naprawdę wygląda jak Frank Ralpha Waite'a FrankaPostać uśmiechają się, gdy dziewczyna spadnie do jej śmierci. <br /> <br /> Wspomnienie też musi przejść do byłego aktora „Burning's Burning” Craiga Fairbrassa jako Brit Bad Guy, który przychodzi przy zbiornik, używając Hal jako ludzkiego piłki nożnej,Tak, nie możesz nie cieszyć się tym kawałkiem, Hal potrzebował dobrego kopnięcia. <br /> <br /> Więc zapomnij o swoim lepszym osądowi, kogo to obchodzi, jeśli „to się nigdy nie wydarzy”, obniż swoje oczekiwania aktorskie, zwiększ objętośći baw się dobrze!A jeśli szukasz Qaulen, to on nosi helikopter.",positive
"Miałem okropne nieszczęście, że muszę oglądać ten „film B” w całości. <br /> <br /> Wszystko, co mam do powiedzenia, to --- Oszczędzaj czas i pieniądze !!!To musi być najgorsze filmy B wszechczasów, nie należy nawet nazywać go filmem B, bardziej jak film F!Ponieważ zawodzi we wszystkich aspektach, które tworzą dobry film: historia wcale nie jest interesująca, wszyscy aktorzy są ciekawe papierowe i wcale nie wiarygodne, ma zły kierunek, a sekwencje akcji są tak fałszywe, że jest prawie zabawne...... prawie. <br /> <br /> Film jest po prostu pełen gównianych jedno-liniowców, których żadna szanowana osoba nie mogłaby się przynajmniej odrobić. <br /> <br /> Ten film jestpowinna być ukierunkowana na mężczyzn, ale wszystkie w nim kobiety są tak nieatrakcyjne, zwłaszcza stara pomarszczona rzecz, która pod koniec.Starają się wyglądać seksownie w tych dziwnych, okropnych kostiumach i zawodzą nieszczęśliwie !!! <br /> <br /> Nawet niektóre z najbardziej absurdalnych filmów B nadal będą się śmiać, ale to po prostu zbyt bolesne, aby oglądać, aby oglądać!!",negative
"Cóż za absolutnie oszałamiający film, jeśli masz 2,5 godziny do zabicia, obejrzyj go, nie pożałujesz, to za zabawę!Rajnikanth nosi film na ramionach i chociaż nie ma nic innego niż on, nadal mi się podobało.Muzyka A.R.Hehman wymaga czasu, aby się na ciebie urosnąć, ale po tym, jak usłyszałeś to kilka razy, naprawdę zaczynasz ją lubić.",positive
"Po pierwsze, zdobądźmy tutaj kilka rzeczy: a) Jestem fanem anime- zawsze było w rzeczywistości (kiedyś oglądałem Speed Racer w przedszkolu).B) Lubię kilka filmów B, ponieważ są zabawne.c) Lubię filmy Godzilla- bardzo.Nagły- boom!Anime pojawia się!Wtedy film idzie wwwaaaayyyyyyy.W rzeczywistości jest to takie tanie, jedna z niewielu scen z filmu „Vidly” pamiętam, jest wtedy, gdy grupa dzieci zabrakło szkoły ... i to te same dzieci w kółko!FX też są okropne;Dinozaury wyglądają gorzej niż Godzilla.Ponadto przejście na działanie na żywo do animacji jest niezorganizowane, dialog i głosy (szczególnie angielskie dub, które oglądałem) było okropne i błagałem mojego taty, aby wyciągnął taśmę z odtwarzacza DVD/ VHS;Jedyną rzeczą, która sprawiła, że przetrwała, było wybijanie żartów i komentarzy, takich jak Robots i Joel/Mike na MST3K (wybierasz sezon).Szczerze mówiąc, jest to jedyny sposób, aby ledwo cieszyć się tym filmem i przetrwać w tym samym czasie.Wieczór filmowy.Ponieważ jest to głupie, dość bolesne oglądanie i niezamierzone przezabawne w tym samym czasie, daję temu filmowi 3/10, poprawę w stosunku do 0,5 /10, które pierwotnie miałem dać. <br /> <br />(Zgodnie z moją skalą oceniania: 3/10 oznacza prawie zarówno nudne, jak i złe. Zabawne, jak liczenie do trzech, chyba że znajdziesz sposób na wyśmiewanie się z tego, stanie się tak zabawne, jak liczenie do 15.)",negative
"To był najgorszy film, jaki widziałem na Worldfest, a potem otrzymał też najmniejszą liczbę oklasków!Mogę tylko myśleć, że otrzymuje takie uznanie w oparciu o ilość znanych aktorów w filmie.Wspaniale jest widzieć J.Bealsa, ale ona jest w filmie tylko przez kilka minut.M.Parker jest znacznie lepszą aktorką niż dozwolona część.Reszta aktorstwa jest trudna do oceny, ponieważ film jest tak śmieszny i przewidywalny.Główny bohater jest całkowicie niesympatyczny, a zatem jest nuda do oglądania.W tej historii nie ma prawdziwej głębokości emocjonalnej.Film dotyczy aktora, który nie może dostać pracy, nie wydaje się dla mnie zbyt oryginalny.Rozwój policjanta nie.Wydaje się, że to jeden z wielu filmów prosto do filmu, które widziałem w latach 90. ... i nawet dobre w tych standardach. <br /> <br />",negative
"Historia Karen Carpenter pokazuje nieco więcej o złożonym życiu piosenkarki Karen Carpenter.Chociaż nie udziela dokładnych faktów i szczegółów. <br /> <br /> Cynthia Gibb (Pontacje Karen) nie było dobrym wyborem.Jest dobrą aktorką, ale gra bardzo naiwny i głupi Karen Carpenter.Myślę, że rola wymagała silniejszego charakteru.Ktoś z silniejszą osobowością. <br /> <br /> Rola Louise Fletcher jako Agnes Carpenter jest świetna, świetnie sobie radzi jako matka Karen. <br /> <br /> Ma świetne piosenki, które mogły zostać uwzględnioneW albumie ścieżki dźwiękowej.Niestety nie były, chociaż ten film był na szczycie ocen w USA i innych krajach",positive
"„Komórka” to egzotyczne arcydzieło, oszałamiająca podróż nie tylko ogromnego umysłu seryjnego zabójcy, ale także do jednego z bardzo utalentowanych reżyserów.Jest to rozstrzygający dowód tego, co można osiągnąć, jeśli ludzie uwolnią swoją nieskrępowaną wyobraźnię.Jest to śmiałość w pracy, odsuwając na bok myśli, aby wpaść w formuł i klisz oraz tworzenie czegoś naprawdę wspaniałego.To najlepszy film do tej pory.Negatywnie krytykowanie tego filmu oznacza przegapienie sedna.Ten film może być punktem orientacyjnym, tradycją, w której pojawią się przyszłe filmy.„Komórka” właśnie otworzyła drzwi do innego świata wyobraźni.Czy możemy zatrzymać drzwi w twarz i powiedzieć, że i jego reżyser Tarsem Singh, że już nie chcemy?Osobiście nie powitałbym kolejnego filmu Tarsema i chciałbym zobaczyć, jak ktoś próbuje mu rzucić wyzwanie. <br /> <br /> Wszyscy słyszeliśmy, jak wchodząc w umysł seryjnego zabójcy i tak, tak,Zgadzam się, że „gatunek” jest nieco przepracowany.90. były pełne filmów próbujących przedstawiać, co sprawia, że seryjne zabójcy tykają;Niektóre z nich działały, ale większość nie powiodła się.Ale „Komórka” nie płonął ten sam szlak, otrzymujemy nowy zwrot akcji, jesteśmy fizycznie transportowani do umysłu i przedstawione z fascynującą podróżą najbardziej tajemniczej tematu, jakie kiedykolwiek badano. <br /> <Br /> Podoba mi się, że film nie zabraknie nas zbyt dużym żargonem naukowym, próbując wyjaśnić, w jaki sposób Jennifer Lopez faktycznie wejdzie do mózgu innego.Zamiast tego po prostu leży na stole laboratoryjnym i jest owinięta czymś, co wygląda na naprawdę długie Twizzlery i zamykają się w inną istotę.„Komórka” chce pozwolić ci „zobaczyć”, o co w tym wszystkim chodzi, a nie „jak”, i myślę, że tego nie lubią.To prawda, że lubię wyjaśnienia z moimi filmami, ale kiedy film zapuści się na nowy teren, musisz pozwolić mu robić to, czego pragnie i po prostu go weź.Pokazał rzeczywistość, być może w celu kontrastowania jasnych wizualizacji, gdy w mózgu innego.Niemniej jednak scenariusz był po prostu zadziwiający.Nie zdziwiłbym się, gdyby ten film zabrał do domu kilka Oscarów w kinematografii, najlepszych kostiumów, najlepszego reżysera i tym podobnych.Gdyby to byłoby to przynajmniej nominowane do najlepszego obrazu. <br /> <br /> Zauważyłem, że się powtarzam.Nie dlatego, że nie ma nic więcej do powiedzenia, ale dlatego, że nie mogę wystarczająco podkreślić, jak fantastycznie myślałem „komórka”.Jeśli wejdziesz do filmu z bardzo otwartym umysłem i aby przejąć go z cudami i oszałamiającą ucztą, masz dobrą zabawę.Wydaje mi się, że ten film był trochę za dużo dla niektórych ludzi, pisząc go jako „dziwne” lub „szalone”.Jestem bardzo w psychologii i wyobraźni ludzkiego umysłu, więc to było w mojej zaułku.Opuszczając teatr, usłyszałem, jak jeden członek publiczności powiedział: „Kto nakręcił ten film z pewnością zrobił wiele dobrych narkotyków”.Jeśli tak, chcę, co palił. <br /> <br /> **** (z 4)",positive
"Ten film starał się być zbyt wiele rzeczy naraz: kłująca satyra polityczna, hollywoodzka hit, suppy romantyczna komedia, promocja Family Values ... lista jest długa.W każdym z nich zawiodło, ale było wystarczające zainteresowanie, aby powstrzymać mnie przed wyłączeniem go do końca. <br /> <br /> Chociaż doceniam ducha War, Inc., to mnie przygnębia, aby zobaczyć takieNiezdarne wysiłki, zwłaszcza gdy będą podjęte przez jego cele, aby odzwierciedlić brak istnienia poważnej krytyki, a nie po prostu złego pisania, reżyserii i produkcji tego konkretnego filmu. <br /> <br /> IstniejeKrytyka, którą należy dokonać o korporacji wojny.Ale wyśmiewanie się w ten sposób zmniejsza prawdziwe okrucieństwo tego, co się dzieje.Przypomina mi trochę trzech królów, którzy podobnie trywializuje prawdziwą przyczynę do niepokoju.",negative
